,XGB_AUC,XGB_MCC,XGB-ghost_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN-ghost_AUC,XGB-FN-ghost_MCC,DNN-MT_AUC,DNN-MT_MCC,DNN-MT-ghost_MCC,Macau_AUC,Macau_MCC,Macau-ghost_MCC
CEETOX_H295R_ESTRONE_up,0.6495798319327731,0.2613900328140699,0.16806722689075632,0.777310924369748,0.35719291301477546,0.8512605042016806,0.3911023896226019,0.6487394957983192,0.0,0.24431878926100106,0.746218487394958,-0.05827518832477032,0.18465471313552842
CEETOX_H295R_OHPREG_up,0.7407407407407407,0.3549840117794217,0.33138678706944075,0.8103254769921439,0.4982092549276938,0.8013468013468014,0.4453928491860374,0.7934904601571269,0.17479255693491463,0.3814882103344266,0.8653198653198653,0.17479255693491463,0.38047138047138046
CEETOX_H295R_OHPROG_dn,0.6661835748792271,0.2618022989527433,0.24920786249253582,0.888888888888889,0.6107703467028442,0.8922705314009662,0.6379314396854339,0.6159420289855072,0.0,0.1559251738705053,0.7990338164251208,0.2925906145701769,0.4568500819577099
CEETOX_H295R_OHPROG_up,0.7655555555555554,0.3228369312989552,0.39834823795432894,0.8861111111111112,0.628970902033151,0.866111111111111,0.5344495466435019,0.6416666666666667,-0.05714285714285714,0.24142857142857144,0.7494444444444444,0.175,0.38570983572621814
CEETOX_H295R_PROG_up,0.734903381642512,0.4325348539725385,0.4325348539725385,0.907608695652174,0.6153791331518389,0.8743961352657006,0.5431222910740574,0.5948067632850241,0.0,0.13289273833268186,0.7566425120772946,0.4837474836182373,0.20125569610634506
CEETOX_H295R_TESTO_dn,0.5553319919517103,0.21171479826002618,0.031393860287188984,0.9094567404426558,0.6729821168333263,0.9024144869215291,0.6274800197569215,0.5120724346076458,0.0,0.08525948031554317,0.8219315895372235,0.28708776031832167,0.38120110583074024
CLD_CYP1A1_24hr,0.8382352941176471,0.5735294117647058,0.4215686274509804,0.8884803921568627,0.6825209291853219,0.8811274509803921,0.5735490084608923,0.75,0.46392184761727534,0.42008402520840293,0.9142156862745099,0.6786090856103761,0.6825209291853219
CLD_CYP1A1_48hr,0.7108585858585859,0.17629529511598171,0.2982927906916105,0.8585858585858586,0.5508894960085645,0.851010101010101,0.6239336268027055,0.7828282828282828,0.30166834086259015,0.320469370274213,0.875,0.47153204805450116,0.5900200092213026
CLD_CYP1A1_6hr,0.6923076923076923,0.20880482776855544,0.26083102604913666,0.8923076923076924,0.6512381921652878,0.908974358974359,0.5904133725713091,0.6461538461538461,0.20880482776855544,0.1617636294710456,0.8282051282051281,0.4387388935277386,0.48318789599398215
CLD_CYP1A2_24hr,0.8648018648018648,0.4805031188115172,0.5515282980910665,0.9289044289044289,0.6205015583664778,0.958041958041958,0.7468105728257769,0.7599067599067598,0.41335348031028973,0.3263967592760059,0.9324009324009324,0.7604999979214384,0.6561771561771562
CLD_CYP1A2_48hr,0.7073732718894009,0.3527551013967038,0.3527551013967038,0.8283410138248848,0.45622119815668205,0.8329493087557605,0.4604038005406827,0.5587557603686636,0.18035210484058706,0.18035210484058706,0.8559907834101381,0.49013167553799436,0.49013167553799436
CLD_CYP1A2_6hr,0.7324929971988795,0.4223243634576189,0.36072096614105076,0.8011204481792717,0.4880043950815175,0.8263305322128851,0.4890165649280497,0.6624649859943978,0.19345103425517035,0.0821374352681637,0.8207282913165267,0.6082731503531377,0.4650038674052493
CLD_CYP2B6_24hr,0.8464705882352941,0.4728288476344844,0.4728288476344844,0.9211764705882353,0.7562262566590136,0.9411764705882353,0.6864587464934622,0.6570588235294117,0.3633009993092108,0.3633009993092108,0.8764705882352942,0.6864025490801688,0.5803860804316712
CLD_CYP2B6_48hr,0.7997685185185186,0.48770166057530473,0.48770166057530473,0.9305555555555556,0.7981593341498341,0.9456018518518519,0.6937307840896573,0.7546296296296295,0.4896086960017624,0.4896086960017624,0.9224537037037037,0.6097597989635037,0.6097597989635037
CLD_CYP2B6_6hr,0.892512077294686,0.5335151294331263,0.5657505471906958,0.9685990338164252,0.8209799023696966,0.9722222222222223,0.7534803754040523,0.8007246376811594,0.5335151294331263,0.5335151294331263,0.9589371980676329,0.7490900380120727,0.7490900380120727
CLD_CYP3A4_24hr,0.7850931677018634,0.48933075827847367,0.45586983171677126,0.8683229813664597,0.6360035437056131,0.8683229813664597,0.5859821774073571,0.6322981366459627,0.09745598849501345,0.16373638398364068,0.8894409937888199,0.5227799028052701,0.5983304657056716
CLD_CYP3A4_48hr,0.7863354037267081,0.4066210175743128,0.4066210175743128,0.9006211180124224,0.7118012422360248,0.8981366459627329,0.6158443099086186,0.7068322981366459,0.32495931442772746,0.20430156738209965,0.9391304347826087,0.7826763291327525,0.7890164512138456
CLD_UGT1A1_24hr,0.6204081632653061,-0.02604617494803484,0.22065836567782737,0.7816326530612245,0.5622113771999472,0.7530612244897961,0.4138084800894974,0.6020408163265306,0.0,0.06746752425931443,0.7591836734693878,0.1869515157375931,0.28730149197959287
CLD_UGT1A1_48hr,0.7023411371237459,0.18196254530253358,0.22702361905095217,0.794314381270903,0.22939825634660863,0.7424749163879598,0.3093645484949833,0.5317725752508361,0.0,0.11368512249731984,0.8896321070234114,0.12638947859392052,0.3431335262999692
NCCT_HEK293T_CellTiterGLO,0.7782805429864253,0.40135587684635876,0.4494720965309201,0.83710407239819,0.423193251008731,0.852187028657617,0.5888865976406079,0.8416289592760181,0.5243749874240005,0.5243749874240005,0.8416289592760181,0.5071495238621256,0.5071495238621256
NCCT_QuantiLum_inhib_2_dn,0.5443469785575048,0.24232045389840395,0.09525328351587908,0.6686159844054581,0.18683779913787818,0.6286549707602339,0.10993881716342076,0.5648148148148148,0.0,0.10515241048089874,0.615009746588694,0.12686920447123276,0.06934026834108
NCCT_QuantiLum_inhib_dn,0.6139705882352942,0.22725037001260012,0.1433852671826821,0.6890756302521007,0.07727101252333977,0.6911764705882353,0.2057594099279777,0.5835084033613446,0.14380993997399347,0.14380993997399347,0.6617647058823529,0.25928148942086576,0.28361344537815125
NCCT_TPO_AUR_dn,0.6705128205128206,0.015534712747612346,0.015534712747612346,0.7294871794871794,-0.07812353285007358,0.5858974358974358,0.0,0.5743589743589743,0.0,0.0,0.6307692307692307,0.0,0.0
NHEERL_ZF_144hpf_TERATOSCORE_up,0.8290273556231004,0.4755366526122907,0.4755366526122907,0.9485815602836879,0.7022683576163173,0.9450354609929078,0.6463804794319696,0.89387031408308,0.64075812998703,0.64075812998703,0.9561803444782169,0.7533182999937559,0.7533182999937559
NVS_ADME_hCYP19A1,0.5672268907563025,0.19538794727709236,0.08084520834544433,0.6050420168067226,0.08199200616907877,0.6596638655462185,0.13668434131171125,0.7100840336134454,0.0,0.32413715225348666,0.6281512605042016,0.20498001542269695,0.16568337391590282
NVS_ADME_hCYP1A1,0.7108843537414966,0.3931785497463924,0.45866432210600416,0.6564625850340137,0.07537783614444091,0.6496598639455782,0.23570226039551584,0.6462585034013606,0.05337605126836238,0.11785113019775792,0.7346938775510203,0.25,0.07537783614444091
NVS_ADME_hCYP2C19,0.7149425287356321,0.4070801956792859,0.4070801956792859,0.6183908045977011,0.23629367680234412,0.6379310344827587,0.23174059571793568,0.5597701149425287,0.0,0.0,0.7149425287356321,0.06467005683607961,0.06467005683607961
NVS_ADME_hCYP3A4,0.825,0.48527094672759025,0.6091095901015048,0.7375,0.48527094672759025,0.8208333333333333,0.4529108136578383,0.7,0.3544587784792833,0.3544587784792833,0.7166666666666667,0.36121113610807304,0.36121113610807304
NVS_ENZ_hAChE,0.532967032967033,0.10482848367219182,0.033149677206589796,0.510989010989011,-0.18232322463624387,0.4780219780219781,-0.01981072129375818,0.5934065934065934,-0.05241424183609591,0.11602387022306429,0.6098901098901099,0.10482848367219182,0.10989010989010989
NVS_ENZ_hBACE,0.45588235294117646,0.029411764705882353,0.029411764705882353,0.5036764705882353,0.029411764705882353,0.4154411764705882,0.014291548761875736,0.48897058823529416,0.15073529411764705,0.01999040690647504,0.7279411764705882,0.33210558207753577,0.33210558207753577
NVS_ENZ_hES,0.7208333333333334,0.28870545602072445,0.2393949488198693,0.6958333333333334,0.36121113610807304,0.6708333333333334,0.11581320482871722,0.4750000000000001,0.09139076937674137,0.09139076937674137,0.625,0.09139076937674137,0.09139076937674137
NVS_ENZ_hElastase,0.6166666666666667,0.26666666666666666,0.1,0.6666666666666666,0.20254787341673333,0.7666666666666667,0.28867513459481287,0.7666666666666666,0.4666666666666667,0.4666666666666667,0.7999999999999999,0.5477225575051661,0.5002975305232068
NVS_ENZ_hPDE4A1,0.7864583333333333,0.28867513459481287,0.3125,0.6979166666666667,0.25819888974716115,0.7447916666666666,0.10555008273018728,0.6927083333333334,0.05892556509887897,0.20672455764868078,0.75,0.3333333333333333,0.3721042037676254
NVS_ENZ_hPDE5,0.4090909090909091,0.10192943828752511,0.10192943828752511,0.5,-0.050964719143762556,0.5227272727272727,-0.006590510302208904,0.5681818181818181,0.0,0.16116459280507606,0.41233766233766234,0.12182898077463453,0.0657951694959769
NVS_ENZ_oCOX1,0.44318181818181823,-0.042797648953895366,-0.042797648953895366,0.5454545454545454,-0.011562432251572007,0.5909090909090909,0.053300179088902604,0.46590909090909094,0.23652495839563303,0.23652495839563303,0.5454545454545454,-0.04469901562676742,-0.04469901562676742
NVS_ENZ_rMAOBC,0.6038961038961039,0.18831168831168832,0.08291849892341732,0.4805194805194805,-0.025974025974025976,0.4610389610389611,-0.040291148201269014,0.564935064935065,0.09869275424396534,0.09869275424396534,0.5584415584415584,0.045162230233094555,0.045162230233094555
NVS_ENZ_rMAOBP,0.48,0.0,-0.0657951694959769,0.5133333333333333,-0.03500700210070025,0.6333333333333333,0.14547859349066158,0.43999999999999995,-0.24077170617153842,-0.03268602252303067,0.6066666666666667,0.3333333333333333,0.2721655269759087
NVS_GPCR_g5HT4,0.7000000000000001,0.3333333333333333,0.23814483610392007,0.8466666666666667,0.6651330399133047,0.8133333333333332,0.5345224838248488,0.7466666666666667,0.5819143739626463,0.5819143739626463,0.8666666666666667,0.6123724356957945,0.6123724356957945
NVS_GPCR_gOpiateK,0.5775401069518717,0.1387491870188641,0.04222003309207491,0.7754010695187166,0.3858604196329899,0.7433155080213903,0.19421215222354457,0.6096256684491979,0.08956221510397983,-0.15480678800427466,0.8128342245989304,0.4687501237868722,0.4687501237868722
NVS_GPCR_h5HT5A,0.5746606334841629,0.15374072439330316,0.06726727939963124,0.7013574660633484,0.3844645254667628,0.6470588235294117,0.15695698526580626,0.6696832579185521,0.26068008117002456,0.26068008117002456,0.7058823529411765,0.26068008117002456,0.26068008117002456
