round,assay,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
2,TA1537,0.9423076923076924,0.7896980092520401,0.9393939393939394,0.5849056603773585,0.9801444981547898,0.7209302325581395,0.7148425524916904
2,TA1537_S9,0.9525,0.8687129574248273,0.8695652173913043,0.7547169811320755,0.9800445870262628,0.8080808080808081,0.7836831714819469
2,TA102,0.8522727272727273,0.7583754445068314,0.696969696969697,0.5897435897435898,0.8925697173872356,0.6388888888888891,0.5498558258638641
2,TA102_S9,0.9281045751633988,0.7390510948905109,0.7272727272727273,0.5,0.8864051094890509,0.5925925925925926,0.5663703283555348
3,TA100,0.88,0.8546107825608582,0.7865168539325843,0.7954545454545454,0.92756039976161,0.7909604519774012,0.7068317484737395
3,TA100_S9,0.8643678160919541,0.8446296296296296,0.7753623188405797,0.7925925925925926,0.9224012345679012,0.7838827838827839,0.6851605553700554
3,TA1535,0.9497991967871486,0.8306338774644901,0.8181818181818182,0.6792452830188679,0.9817256730973076,0.7422680412371134,0.7185235741752622
3,TA1535_S9,0.953091684434968,0.8747379454926625,0.7446808510638298,0.7777777777777778,0.9274633123689728,0.7608695652173912,0.7350920025053531
3,TA97,0.9142857142857144,0.8317214700193424,0.5714285714285714,0.7272727272727273,0.9040135396518376,0.64,0.5976943250313461
3,TA97_S9,0.9257425742574258,0.8421727972626176,0.8333333333333334,0.7142857142857143,0.9724550898203592,0.7692307692307692,0.728354625764315
3,TA98,0.907940161104718,0.8777658187995139,0.7971698113207547,0.8203883495145631,0.9476416406741934,0.8086124401913874,0.7481564322382687
3,TA98_S9,0.8976572133168927,0.8886616596504656,0.7637130801687764,0.8701923076923077,0.9480083556576092,0.8134831460674157,0.7463832779365799
3,TA1537,0.9495192307692308,0.8502261032278184,0.8636363636363636,0.7169811320754716,0.9798326316336609,0.7835051546391751,0.7594023675901499
3,TA1537_S9,0.9625,0.9224348866293296,0.8518518518518519,0.8679245283018868,0.9830895546734816,0.8598130841121496,0.8382190285638687
3,TA102,0.8465909090909091,0.7363840539023021,0.7,0.5384615384615384,0.8953771289537712,0.608695652173913,0.5221601252669718
3,TA102_S9,0.9281045751633988,0.7390510948905109,0.7272727272727273,0.5,0.8873175182481752,0.5925925925925926,0.5663703283555348
4,TA100,0.8908108108108108,0.8701376472745609,0.8007380073800738,0.821969696969697,0.9218012194562876,0.8112149532710281,0.7345518034628732
4,TA100_S9,0.8758620689655172,0.8397222222222223,0.8375,0.7444444444444445,0.919925925925926,0.7882352941176469,0.703291815896416
4,TA1535,0.9477911646586346,0.8211999152003392,0.813953488372093,0.660377358490566,0.98062327750689,0.7291666666666667,0.7053155061531473
4,TA1535_S9,0.9488272921108742,0.7929245283018868,0.8181818181818182,0.6,0.9266771488469602,0.6923076923076923,0.6746440671715871
4,TA97,0.9047619047619048,0.8063346228239845,0.5357142857142857,0.6818181818181818,0.8970019342359767,0.6,0.5519524124013961
4,TA97_S9,0.9306930693069309,0.8338751069289991,0.8888888888888888,0.6857142857142857,0.9763900769888794,0.7741935483870968,0.7426862561446753
4,TA98,0.9056386651323358,0.8662193032552827,0.8069306930693071,0.7912621359223301,0.947692893438182,0.7990196078431373,0.7374337337027281
