method,assay,round,bin,MCC
dnn,NR-ER-LBD,16,2-3,0.0
dnn,NR-ER-LBD,16,>3,0.6133651574194492
dnn,NR-ER-LBD,17,0-1,0.0
dnn,NR-ER-LBD,17,2-3,0.0
dnn,NR-ER-LBD,17,>3,0.577646492442027
dnn,NR-ER-LBD,18,0-1,0.0
dnn,NR-ER-LBD,18,2-3,0.0
dnn,NR-ER-LBD,18,>3,0.6253915602849002
dnn,NR-ER-LBD,19,0-1,0.0
dnn,NR-ER-LBD,19,2-3,0.0
dnn,NR-ER-LBD,19,>3,0.6109097466498785
dnn,NR-PPAR-gamma,0,0-1,0.0
dnn,NR-PPAR-gamma,0,2-3,0.0
dnn,NR-PPAR-gamma,0,>3,0.37926587628637154
dnn,NR-PPAR-gamma,1,0-1,0.0
dnn,NR-PPAR-gamma,1,2-3,0.0
dnn,NR-PPAR-gamma,1,>3,0.2771780902839713
dnn,NR-PPAR-gamma,2,0-1,0.0
dnn,NR-PPAR-gamma,2,2-3,0.0
dnn,NR-PPAR-gamma,2,>3,0.37926587628637154
dnn,NR-PPAR-gamma,3,0-1,0.0
dnn,NR-PPAR-gamma,3,2-3,0.0
dnn,NR-PPAR-gamma,3,>3,0.2771780902839713
dnn,NR-PPAR-gamma,4,0-1,0.0
dnn,NR-PPAR-gamma,4,2-3,0.0
dnn,NR-PPAR-gamma,4,>3,0.3719378444549248
dnn,NR-PPAR-gamma,5,0-1,0.0
dnn,NR-PPAR-gamma,5,2-3,0.0
dnn,NR-PPAR-gamma,5,>3,0.3754082864437441
dnn,NR-PPAR-gamma,6,0-1,0.0
dnn,NR-PPAR-gamma,6,2-3,0.0
dnn,NR-PPAR-gamma,6,>3,0.37926587628637154
dnn,NR-PPAR-gamma,7,0-1,0.0
dnn,NR-PPAR-gamma,7,2-3,0.0
dnn,NR-PPAR-gamma,7,>3,0.3372146947732648
dnn,NR-PPAR-gamma,8,0-1,0.0
dnn,NR-PPAR-gamma,8,2-3,0.0
dnn,NR-PPAR-gamma,8,>3,0.3352855147867222
dnn,NR-PPAR-gamma,9,0-1,0.0
dnn,NR-PPAR-gamma,9,2-3,0.0
dnn,NR-PPAR-gamma,9,>3,0.3719378444549248
dnn,NR-PPAR-gamma,10,0-1,0.0
dnn,NR-PPAR-gamma,10,2-3,0.0
dnn,NR-PPAR-gamma,10,>3,0.3174165596336617
dnn,NR-PPAR-gamma,11,0-1,0.0
dnn,NR-PPAR-gamma,11,2-3,0.0
dnn,NR-PPAR-gamma,11,>3,0.2515787162687866
dnn,NR-PPAR-gamma,12,0-1,0.0
dnn,NR-PPAR-gamma,12,2-3,0.0
dnn,NR-PPAR-gamma,12,>3,0.35706334763236414
dnn,NR-PPAR-gamma,13,0-1,0.0
dnn,NR-PPAR-gamma,13,2-3,0.0
dnn,NR-PPAR-gamma,13,>3,0.34453554278571064
dnn,NR-PPAR-gamma,14,0-1,0.0
dnn,NR-PPAR-gamma,14,2-3,0.0
dnn,NR-PPAR-gamma,14,>3,0.29545441378498577
dnn,NR-PPAR-gamma,15,0-1,0.0
dnn,NR-PPAR-gamma,15,2-3,0.0
dnn,NR-PPAR-gamma,15,>3,0.30142426004317024
dnn,NR-PPAR-gamma,16,0-1,0.0
dnn,NR-PPAR-gamma,16,2-3,0.0
dnn,NR-PPAR-gamma,16,>3,0.35706334763236414
dnn,NR-PPAR-gamma,17,0-1,0.0
dnn,NR-PPAR-gamma,17,2-3,0.0
dnn,NR-PPAR-gamma,17,>3,0.3352855147867222
dnn,NR-PPAR-gamma,18,0-1,0.0
dnn,NR-PPAR-gamma,18,2-3,0.0
dnn,NR-PPAR-gamma,18,>3,0.37926587628637154
dnn,NR-PPAR-gamma,19,0-1,0.0
dnn,NR-PPAR-gamma,19,2-3,0.0
dnn,NR-PPAR-gamma,19,>3,0.3390978715080343
dnn,SR-ARE,0,0-1,0.39482284480086133
dnn,SR-ARE,0,2-3,0.2721655269759087
dnn,SR-ARE,0,>3,0.4194295146213811
dnn,SR-ARE,1,0-1,0.44026525564956065
dnn,SR-ARE,1,2-3,0.4082482904638631
dnn,SR-ARE,1,>3,0.41104431202569325
dnn,SR-ARE,2,0-1,0.21862199778627
dnn,SR-ARE,2,2-3,0.0
dnn,SR-ARE,2,>3,0.4140739500530465
dnn,SR-ARE,3,0-1,0.277863709845348
dnn,SR-ARE,3,2-3,0.2721655269759087
dnn,SR-ARE,3,>3,0.4320999487725646
dnn,SR-ARE,4,0-1,0.2882298424467099
dnn,SR-ARE,4,2-3,0.0
dnn,SR-ARE,4,>3,0.38759082928379646
dnn,SR-ARE,5,0-1,0.12657063029731422
dnn,SR-ARE,5,2-3,0.2721655269759087
