,XGB_AUC,XGB_MCC,XGB_sparse_AUC,XGB_sparse_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN_sparse_AUC,XGB-FN_sparse_MCC,Macau_AUC,Macau_MCC,Macau_sparse_AUC,Macau_sparse_MCC
APR_HepG2_OxidativeStress_24h_up,0.6299407114624507,0.18919321764074148,0.6299407114624507,0.18919321764074148,0.9872953133822698,0.8306041784302653,0.9875776397515528,0.8368737141296121,0.9761434217955957,0.8056508400514235,0.9781197063805759,0.8212948791118232
APR_HepG2_OxidativeStress_72h_up,0.6177357456140351,0.11516310925475291,0.6177357456140351,0.11516310925475291,0.9679276315789473,0.7394218578600374,0.9701206140350876,0.7501884716663372,0.9438048245614035,0.66505873371693,0.9444901315789473,0.6971341243066245
APR_HepG2_StressKinase_24h_up,0.6006493506493507,0.0,0.6006493506493507,0.0,0.9495798319327732,0.3327586472218962,0.9629488158899924,-0.019347649748797373,0.9484339190221543,0.34418950629193334,0.9507257448433919,0.267828427864465
APR_HepG2_StressKinase_72h_up,0.6654166666666667,0.07142857142857142,0.6654166666666667,0.07142857142857142,0.9005555555555556,0.38978972143455365,0.9005555555555556,0.30283784171966527,0.8927777777777779,0.49644580772409297,0.8988888888888888,0.49644580772409297
APR_HepG2_p53Act_24h_up,0.6571049577184547,0.03416984959824014,0.6571049577184547,0.03416984959824014,0.9709832531918422,0.724873964564888,0.9706516332283204,0.7442205404237475,0.9739678328635384,0.7487646381126826,0.9767866025534737,0.763350750297949
APR_HepG2_p53Act_72h_up,0.637421875,0.14237369936287486,0.637421875,0.14237369936287486,0.9409375,0.6682922888477267,0.9384375,0.6767529681839596,0.93203125,0.5660026527996053,0.933125,0.600099198148979
APR_Hepat_CellLoss_24hr_dn,0.6159554730983302,0.0961583755953976,0.6159554730983302,0.0961583755953976,0.8627087198515769,0.19428835868212715,0.8589981447124304,0.32099815782264485,0.9573283858998145,0.7659920289562161,0.9721706864564008,0.7659920289562161
APR_Hepat_DNADamage_24hr_up,0.5992578849721707,0.12921914767618442,0.5992578849721707,0.12921914767618442,0.8645640074211502,0.4986818083203178,0.8552875695732838,0.44770795696316257,0.9499072356215212,0.7011275552441979,0.9536178107606679,0.7773654916512059
APR_Hepat_DNADamage_48hr_up,0.738404452690167,0.12921914767618442,0.738404452690167,0.12921914767618442,0.8441558441558441,0.44341372912801486,0.8905380333951762,0.5971484496103001,0.8812615955473098,0.4815713303308872,0.9053803339517625,0.6328562858952912
APR_Hepat_DNATexture_24hr_up,0.6232638888888888,0.2603778219616477,0.6232638888888888,0.2603778219616477,0.782986111111111,0.37340802240746923,0.7829861111111112,0.2567180154051351,0.732638888888889,0.37340802240746923,0.7100694444444444,0.3374631855732573
