method,assay,round,bin,MCC
dnn,TA98,7,>3,0.4273053068871527
dnn,TA98,8,0-1,0.49937135374460007
dnn,TA98,8,2-3,0.5504539855167883
dnn,TA98,8,>3,0.40001733102116316
dnn,TA98,9,0-1,0.4968967425562232
dnn,TA98,9,2-3,0.5363479025685126
dnn,TA98,9,>3,0.41021389348349646
dnn,TA98,10,0-1,0.4668799467216665
dnn,TA98,10,2-3,0.5947816350394618
dnn,TA98,10,>3,0.4569636631874401
dnn,TA98,11,0-1,0.49074708723294724
dnn,TA98,11,2-3,0.5487006693618013
dnn,TA98,11,>3,0.43759987485566626
dnn,TA98,12,0-1,0.5124119436283973
dnn,TA98,12,2-3,0.562778284632691
dnn,TA98,12,>3,0.4758660253963217
dnn,TA98,13,0-1,0.46088113052306123
dnn,TA98,13,2-3,0.5610014622801442
dnn,TA98,13,>3,0.38921510906876955
dnn,TA98,14,0-1,0.4789743684408824
dnn,TA98,14,2-3,0.5239380646706631
dnn,TA98,14,>3,0.41770870638929625
dnn,TA98,15,0-1,0.5269240755199076
dnn,TA98,15,2-3,0.5239380646706631
dnn,TA98,15,>3,0.43355498476206
dnn,TA98,16,0-1,0.49937135374460007
dnn,TA98,16,2-3,0.5073220871807818
dnn,TA98,16,>3,0.4473684210526316
dnn,TA98,17,0-1,0.43753134179663605
dnn,TA98,17,2-3,0.5595150580734737
dnn,TA98,17,>3,0.42772475733371723
dnn,TA98,18,0-1,0.49937135374460007
dnn,TA98,18,2-3,0.5198806899201802
dnn,TA98,18,>3,0.3874257144415253
dnn,TA98,19,0-1,0.4248279749176729
dnn,TA98,19,2-3,0.5487006693618013
dnn,TA98,19,>3,0.4210124373464509
dnn,TA98_S9,0,0-1,0.5311959084876182
dnn,TA98_S9,0,2-3,0.5459217779476254
dnn,TA98_S9,0,>3,0.5785873996517941
dnn,TA98_S9,1,0-1,0.45989304812834225
dnn,TA98_S9,1,2-3,0.5698348114196882
dnn,TA98_S9,1,>3,0.557660262111808
dnn,TA98_S9,2,0-1,0.45180794647354805
dnn,TA98_S9,2,2-3,0.5358269260447741
dnn,TA98_S9,2,>3,0.5260796248718366
dnn,TA98_S9,3,0-1,0.5130095224561059
dnn,TA98_S9,3,2-3,0.5465753857494716
dnn,TA98_S9,3,>3,0.585704532952948
dnn,TA98_S9,4,0-1,0.521871225828497
dnn,TA98_S9,4,2-3,0.5873506081993518
dnn,TA98_S9,4,>3,0.5653103830844095
dnn,TA98_S9,5,0-1,0.5758676709832464
dnn,TA98_S9,5,2-3,0.560014328223402
dnn,TA98_S9,5,>3,0.49719212907615185
dnn,TA98_S9,6,0-1,0.5049019607843137
dnn,TA98_S9,6,2-3,0.5358269260447741
dnn,TA98_S9,6,>3,0.5881904460533659
dnn,TA98_S9,7,0-1,0.50479188246061
dnn,TA98_S9,7,2-3,0.5617454528828523
dnn,TA98_S9,7,>3,0.5285714285714286
dnn,TA98_S9,8,0-1,0.5311959084876182
dnn,TA98_S9,8,2-3,0.5574583656340946
dnn,TA98_S9,8,>3,0.5301291821583565
dnn,TA98_S9,9,0-1,0.5758676709832464
dnn,TA98_S9,9,2-3,0.5465753857494716
dnn,TA98_S9,9,>3,0.5588409954051003
dnn,TA98_S9,10,0-1,0.5499108734402852
dnn,TA98_S9,10,2-3,0.536544662395558
dnn,TA98_S9,10,>3,0.5729492257403108
dnn,TA98_S9,11,0-1,0.4953093274814774
dnn,TA98_S9,11,2-3,0.5275554010694701
dnn,TA98_S9,11,>3,0.564455717338841
dnn,TA98_S9,12,0-1,0.48652414599199
dnn,TA98_S9,12,2-3,0.567419797417167
dnn,TA98_S9,12,>3,0.5432069017247341
dnn,TA98_S9,13,0-1,0.5692009995546651
dnn,TA98_S9,13,2-3,0.5666361930734887
dnn,TA98_S9,13,>3,0.5260796248718366
dnn,TA98_S9,14,0-1,0.5049019607843137
dnn,TA98_S9,14,2-3,0.494270912296125
dnn,TA98_S9,14,>3,0.5116740343220143
dnn,TA98_S9,15,0-1,0.583461295896683
dnn,TA98_S9,15,2-3,0.5288808968174268
dnn,TA98_S9,15,>3,0.5205261603306999
dnn,TA98_S9,16,0-1,0.50479188246061
dnn,TA98_S9,16,2-3,0.560014328223402
