TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles,CAS
0.0,0.0,,,,,,,,,,,C=C(Br)C(=O)O,['10443-65-9']
1.0,,,,,,,,,,,,C=C(Br)C(C)=O,['61203-01-8']
1.0,1.0,1.0,,,,,,,,,,C=C(Br)C=O,['14925-39-4']
,1.0,,,,,,,,,,,C=C(Br)CBr,['513-31-5']
,,,,,,,,,,,,C=C(Br)CCl,['16400-63-8']
1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C#N)C(=O)OC,['137-05-3']
0.0,0.0,,,,,,,,,,,C=C(C#N)C(=O)OCC,['7085-85-0']
0.0,0.0,,,,,,,,,,,C=C(C#N)C(=O)OCC(C)C,['1069-55-2']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C=C(C)C,['115-11-7']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C=C(C)C#N,['126-98-7']
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)C(=O)C(=CC(=O)O)OC,['90-65-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)O,['79-41-4']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C=C(C)C(=O)OC,['80-62-6']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OC(C)(C)C,['585-07-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OC(C)C,['4655-34-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC,['97-63-2']
0.0,1.0,0.0,1.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCC(Br)CBr,['3066-70-4']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(C)(C)C,['2397-76-4']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C,['1985-51-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(C)C,['97-86-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,['3290-92-4']
0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,['1565-94-2']
1.0,1.0,1.0,1.0,,,0.0,0.0,,,1.0,1.0,C=C(C)C(=O)OCC1CO1,['106-91-2']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCC,['2210-28-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCC,['97-88-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCC,['2849-98-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCC,['142-09-6']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCCCC,['2157-01-9']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)C(=O)OCCCCCCCC(C)C,['29964-84-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCCCCCC,['3179-47-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,['6606-59-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCOC(=O)C(=C)C,['13675-34-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,['2082-81-7']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)C(=O)OCCN(C)C,['2867-47-2']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,C=C(C)C(=O)OCCO,['868-77-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCOC(=O)C(=C)C,['97-90-5']
0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,C=C(C)C(=O)OCCOC(O)=NCCC(C)CC(C)(C)CN=C(O)OCCOC(=O)C(=C)C,['72869-86-4']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,['2358-84-1']
0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,['109-16-0']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(C)=O,['814-78-8']
1.0,,,,,,,,,,,,C=C(C)C(C)Cl,['5166-35-8']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)C(O)=N[N+](C)(C)CC(C)[O-],['17341-40-1']
